City_ID,City,Country,Lat,Long,Max Temp,Humidity,Clouds,Wind,Current Descrption
291,Zaragoza,ES,41.6561,-0.8773,54.86,37,0,6.91,clear sky
292,Adrar,MR,20.5022,-10.0711,81.75,19,6,6.33,clear sky
293,Colares,PT,38.7992,-9.4469,53.76,64,20,8.99,few clouds
294,Urusha,RU,54.05,122.9,9.41,77,12,6.44,few clouds
295,Itarema,BR,-2.9248,-39.9167,80.44,82,6,10.31,clear sky
296,Raudeberg,NO,61.9875,5.1352,30.96,54,97,13.38,light snow
297,Turukhansk,RU,65.8167,87.9833,32.41,85,100,20.89,overcast clouds
298,Berlevåg,NO,70.8578,29.0864,30.2,79,100,29.24,overcast clouds
299,San Cristobal,VE,7.7669,-72.225,80.78,50,95,4.34,overcast clouds
300,Laguna,US,38.421,-121.4238,71.89,25,0,17.27,clear sky
301,Yining,CN,29.0361,114.5636,56.01,89,99,1.01,overcast clouds
302,Kaitangata,NZ,-46.2817,169.8464,50.67,73,69,13.53,broken clouds
303,Monclova,MX,26.9,-101.4167,95.05,11,75,25.32,broken clouds
304,Aden,YE,12.7794,45.0367,81.63,64,0,14.43,clear sky
305,Linkou,CN,45.3,130.2833,27.55,38,0,15.97,clear sky
306,Ferme-Neuve,CA,46.7001,-75.4493,46.38,54,17,1.9,few clouds
307,Yerbogachën,RU,61.2767,108.0108,13.98,96,100,2.68,overcast clouds
308,Amapá,BR,1.0,-52.0,73.89,98,100,3.71,overcast clouds
309,Kosino,RU,58.4127,51.2782,24.75,96,84,6.87,broken clouds
310,Teya,RU,60.3778,92.6267,34.83,99,100,5.39,overcast clouds
311,Khandyga,RU,62.6667,135.6,-6.47,98,85,1.81,overcast clouds
312,Muros,ES,42.7762,-9.0603,54.09,68,0,13.33,clear sky
313,Fuengirola,ES,36.54,-4.6247,57.2,81,20,10.36,light rain
314,Monzón,ES,41.9108,0.1941,51.22,47,100,1.32,overcast clouds
315,São Filipe,CV,14.8961,-24.4956,71.19,73,4,10.67,clear sky
316,Greymouth,NZ,-42.4667,171.2,62.73,89,100,11.9,overcast clouds
317,Farafangana,MG,-22.8167,47.8333,76.08,90,17,5.61,light rain
318,Xinqing,CN,48.2333,129.5,21.24,78,100,12.3,overcast clouds
319,Cayenne,GF,4.9333,-52.3333,77.04,1,100,5.75,light rain
320,Chui,UY,-33.6971,-53.4616,69.26,39,0,8.25,clear sky
321,Martapura,ID,-3.4167,114.85,71.69,100,85,3.44,overcast clouds
322,Sept-Îles,CA,50.2001,-66.3821,39.72,33,40,11.5,scattered clouds
323,Novikovo,RU,51.1537,37.8879,40.77,78,100,15.35,light rain
324,Tsiroanomandidy,MG,-18.7667,46.0333,66.04,81,0,0.45,clear sky
325,Daitari,IN,21.1,85.75,71.6,94,28,1.07,scattered clouds
326,Ambanja,MG,-13.6833,48.45,75.78,92,100,2.91,overcast clouds
327,Nanortalik,GL,60.1432,-45.2371,34.2,80,72,2.59,broken clouds
328,Gloversville,US,43.0528,-74.3438,58.19,54,0,3.44,clear sky
329,Acajutla,SV,13.5928,-89.8275,87.46,57,99,9.93,overcast clouds
330,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,77.76,96,100,0.34,light rain
331,Rincon,US,32.296,-81.2354,75.16,73,100,18.41,overcast clouds
332,Zhezkazgan,KZ,47.8043,67.7144,45.73,78,80,8.57,broken clouds
333,Dudinka,RU,69.4058,86.1778,19.42,79,94,15.05,overcast clouds
334,Xai-Xai,MZ,-25.0519,33.6442,78.12,70,18,12.08,few clouds
335,Bilibino,RU,68.0546,166.4372,-10.64,88,17,2.66,few clouds
336,Fort Nelson,CA,58.8053,-122.7002,40.59,42,20,0.0,few clouds
337,Hithadhoo,MV,-0.6,73.0833,82.72,66,56,4.59,broken clouds
